x,y,action,left_tolerance,right_tolerance,yaw_deg
60.863265991,-7.932757854,stop
60.867511749,-14.379179001,continue,1,1,
61.007102966,-18.747173309,continue,1,1,
61.371696472,-24.257369995,continue,1,1,
62.580776215,-29.979465485,continue,1,1,
62.545127869,-36.111766815,continue,1,1,
62.675064087,-43.100910187,continue,1,1,
62.870994568,-47.065624237,continue,1,1,
63.173633575,-51.153606415,continue,1,1,
63.324578094,-54.25069809,continue,1,1,
63.291671753,-58.523769379,continue,1,1,
63.437149048,-62.412181854,continue,1,1,
63.776805878,-66.893867493,continue,1,1,
63.904602051,-69.818367004,continue,1,1,
63.933135986,-74.050880432,continue,1,1,
63.918231964,-80.083580017,continue,1,1,
64.206718445,-83.094337463,continue,1,1,
64.384986877,-84.65587616,stop
64.730575562,-92.720108032,continue,1,1,
64.934013367,-95.324256897,continue,1,1,
65.08972168,-98.474975586,continue,1,1,
65.154075623,-102.341148376,continue,1,1,
65.240158081,-106.132957458,continue,1,1,
65.541877747,-110.389099121,continue,1,1,
65.772041321,-113.62752533,continue,1,1,
65.980400085,-116.318405151,continue,1,1,
66.321311951,-121.153877258,continue,1,1,
66.926071167,-126.851325989,continue,1,1,
67.035972595,-131.028625488,continue,1,1,
67.026881409,-134.419845581,continue,1,1,
66.998428345,-137.289749146,continue,1,1,
67.011741638,-140.82824707,continue,1,1,
67.022315979,-144.898803711,continue,1,1,
67.191177368,-148.27104187,continue,1,1,
67.341491699,-152.587249756,continue,1,1,
67.530319214,-157.147094727,continue,1,1,
67.600172424,-161.279815674,continue,1,1,
67.730210876,-165.482849121,continue,1,1,
67.818908691,-168.568649292,continue,1,1,
67.797271423,-170.551132202,continue,1,1,
67.62191925,-172.046859741,
67.302980042,-173.256668091,
66.89541626,-174.402282715,continue
66.435661316,-175.249511719,
65.821739197,-176.30859375,continue
64.924552917,-177.089157104
64.395454407,-177.288421631,continue
63.369510651,-177.616043091,
62.292449951,-177.664337158,continue
61.271076202,-177.505706787,
60.71603775,-177.316375732,
60.101482391,-177.231018066,continue
58.924446106,-177.285690308
56.728397369,-176.877990723,continue
53.917144775,-176.911956787,
51.934261322,-177.042816162,continue
50.213088989,-176.951980591,
48.904434204,-177.046844482,continue
46.236854553,-177.136444092,
43.139381409,-177.302246094,continue
41.100456238,-177.382019043,
37.450275421,-177.412994385,continue
35.349842072,-177.536422729,
33.330188751,-177.628829956,continue
31.296369553,-177.698059082,
27.322185516,-177.834960938,continue
25.250274658,-177.836654663,
23.175569534,-177.922149658,continue
20.98194313,-178.073257446,
18.976957321,-178.137969971,continue
16.935310364,-178.125793457,
14.766433716,-178.160110474,continue
12.736620903,-178.319534302,
10.754417419,-178.420333862,continue
8.685009956,-178.460571289,
7.066756725,-178.520385742,continue
5.547132492,-178.580673218,
4.496825218,-178.652084351,
2.478289366,-178.707595825,continue
0.498727977,-178.906234741,
-1.544215441,-178.972564697,
-2.934314013,-179.04737854,continue
-5.03362608,-178.946426392,
-7.068620205,-179.085449219,continue
-8.415245056,-179.174621582,
-10.429128647,-179.334197998,continue
-11.986550331,-179.429977417,
-13.178273201,-179.379669189,
-14.883761406,-179.7056427,continue
-17.559732437,-180.060958862,
-19.625530243,-180.122177124,continue
-21.663063049,-179.993896484,
-22.814296722,-179.848510742,continue
-23.004932404,-179.820397949,continue
-23.17848587,-179.771691895,continue
-23.471073151,-179.741921997,continue
-23.701747894,-179.706872559,continue
-23.924739838,-179.694073486,continue
-24.251544952,-179.709228516,stop
-24.989559174,-179.644699097,
-25.559520721,-179.651147461,
-26.465232849,-179.669174194,continue
-27.952745438,-179.633056641,
-29.721544266,-179.709014893,continue
-30.400489807,-179.706588745,
-30.758468628,-179.729664307,stop
-47.204826355,-180.501495361,
